2014-12-11 03:59:53 status unpacked libncurses5:i386 5.9+20140118-1ubuntu1
2014-12-11 03:59:53 status unpacked libncurses5:i386 5.9+20140118-1ubuntu1
2014-12-11 03:59:53 install libncursesw5:i386 <none> 5.9+20140118-1ubuntu1
2014-12-11 03:59:53 status half-installed libncursesw5:i386 5.9+20140118-1ubuntu1
2014-12-11 03:59:53 status unpacked libncursesw5:i386 5.9+20140118-1ubuntu1
2014-12-11 03:59:53 status unpacked libncursesw5:i386 5.9+20140118-1ubuntu1
2014-12-11 03:59:53 install libnih-dbus1:i386 <none> 1.0.3-4ubuntu25
2014-12-11 03:59:53 status half-installed libnih-dbus1:i386 1.0.3-4ubuntu25
2014-12-11 03:59:53 status unpacked libnih-dbus1:i386 1.0.3-4ubuntu25
2014-12-11 03:59:53 status unpacked libnih-dbus1:i386 1.0.3-4ubuntu25
2014-12-11 03:59:53 install libnih1:i386 <none> 1.0.3-4ubuntu25
2014-12-11 03:59:53 status half-installed libnih1:i386 1.0.3-4ubuntu25
2014-12-11 03:59:53 status unpacked libnih1:i386 1.0.3-4ubuntu25
2014-12-11 03:59:53 status unpacked libnih1:i386 1.0.3-4ubuntu25
2014-12-11 03:59:53 install libpam-modules:i386 <none> 1.1.8-1ubuntu2
2014-12-11 03:59:53 status half-installed libpam-modules:i386 1.1.8-1ubuntu2
2014-12-11 03:59:54 status unpacked libpam-modules:i386 1.1.8-1ubuntu2
2014-12-11 03:59:54 status unpacked libpam-modules:i386 1.1.8-1ubuntu2
2014-12-11 03:59:54 install libpam-modules-bin:i386 <none> 1.1.8-1ubuntu2
2014-12-11 03:59:54 status half-installed libpam-modules-bin:i386 1.1.8-1ubuntu2
2014-12-11 03:59:54 status unpacked libpam-modules-bin:i386 1.1.8-1ubuntu2
2014-12-11 03:59:54 status unpacked libpam-modules-bin:i386 1.1.8-1ubuntu2
2014-12-11 03:59:54 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2014-12-11 03:59:54 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
